musteri_id,persona,tarih,islem_tipi,kategori,tutar,aciklama,kanal,karsi_taraf_tipi,brut_tutar,zorunlu_mu
6002,ogrenci_orta_gelir,2026-05-02,gider,ulasim,-2360.42,ulasim,nakit,kurum,,1
6002,ogrenci_orta_gelir,2026-05-03,gider,fatura,-2144.04,fatura,otomatik_odeme,kurum,,1
6002,ogrenci_orta_gelir,2026-05-03,gider,egitim,-1648.86,egitim,kart,kurum,,0
6002,ogrenci_orta_gelir,2026-05-04,gider,ulasim,-2048.71,ulasim,nakit,kurum,,1
6002,ogrenci_orta_gelir,2026-05-05,gelir,part_time,6399.61,part_time,havale,isveren,7528.95,
6002,ogrenci_orta_gelir,2026-05-05,gider,kira,-6432.12,kira,havale,birey,,1
6002,ogrenci_orta_gelir,2026-05-05,gider,ulasim,-1627.85,ulasim,kart,kurum,,1
6002,ogrenci_orta_gelir,2026-05-08,gider,yeme_icme,-1345.1,yeme_icme,havale,kurum,,0
6002,ogrenci_orta_gelir,2026-05-09,gider,fatura,-1895.66,fatura,havale,kurum,,1
6002,ogrenci_orta_gelir,2026-05-12,gider,abonelik,-2086.27,abonelik,havale,kurum,,0
6002,ogrenci_orta_gelir,2026-05-15,gelir,freelance,4079.19,freelance,havale,platform,4293.88,
6002,ogrenci_orta_gelir,2026-05-19,gelir,part_time,7047.81,part_time,havale,isveren,8291.54,
6002,ogrenci_orta_gelir,2026-05-22,gelir,burs,4317.51,burs,havale,kurum,4317.51,
6002,ogrenci_orta_gelir,2026-05-24,gider,ulasim,-2422.6,ulasim,havale,kurum,,1
6002,ogrenci_orta_gelir,2026-05-27,gider,market,-1018.11,market,nakit,kurum,,1
6002,ogrenci_orta_gelir,2026-05-31,gelir,aile,7367.83,aile,havale,birey,7367.83,
6002,ogrenci_orta_gelir,2026-06-02,gider,kira,-6432.12,kira,havale,birey,,1
6002,ogrenci_orta_gelir,2026-06-03,gider,eglence,-1498.07,eglence,havale,kurum,,0
6002,ogrenci_orta_gelir,2026-06-05,gider,saglik,-847.13,saglik,nakit,kurum,,1
6002,ogrenci_orta_gelir,2026-06-06,gider,saglik,-943.41,saglik,nakit,kurum,,1
6002,ogrenci_orta_gelir,2026-06-07,gelir,part_time,7257.62,part_time,havale,isveren,8538.38,
6002,ogrenci_orta_gelir,2026-06-16,gider,giyim,-1171.84,giyim,nakit,kurum,,0
6002,ogrenci_orta_gelir,2026-06-19,gelir,freelance,3588.77,freelance,havale,platform,3777.65,
6002,ogrenci_orta_gelir,2026-06-19,gider,market,-916.07,market,havale,kurum,,1
6002,ogrenci_orta_gelir,2026-06-21,gelir,burs,4863.86,burs,havale,kurum,4863.86,
6002,ogrenci_orta_gelir,2026-06-22,gider,market,-1757.15,market,havale,kurum,,1
6002,ogrenci_orta_gelir,2026-06-24,gider,fatura,-2144.04,fatura,otomatik_odeme,kurum,,1
6002,ogrenci_orta_gelir,2026-06-25,gelir,part_time,6549.5,part_time,havale,isveren,7705.29,
6002,ogrenci_orta_gelir,2026-06-29,gider,egitim,-2200.24,egitim,havale,kurum,,0
