musteri_id,persona,toplam_gelir_hacmi,toplam_gider_hacmi,gelir_islem_sayisi,gelir_kaynagi_sayisi,gelir_duzenliligi,gider_gelir_orani,bakiye_trendi,fatura_odeme_duzeni,hesap_hareket_yogunlugu,klasik_skor,temerrut_olasiligi_gercek,temerrut
47,ogrenci_yuksek_hacim,98284.0,63791.0,27,4,0.075,0.649,18.491,1.0,0.407,608,0.0605,0
48,ogrenci_yuksek_hacim,135738.0,73725.0,27,4,0.127,0.543,21.633,0.333,0.419,645,0.0058,0
49,ogrenci_yuksek_hacim,120937.0,66960.0,26,4,0.546,0.554,18.04,0.5,0.399,630,0.0051,0
50,stajyer_degisken_gelir,101540.0,74714.0,12,2,0.239,0.736,13.232,0.667,0.343,641,0.1588,1
51,dusuk_hacim_riskli,5917.0,5844.0,4,1,0.629,0.988,1.465,1.0,0.272,505,0.1911,0
52,dusuk_hacim_riskli,4903.0,5234.0,3,1,0.703,1.068,-4.27,1.0,0.277,504,0.9008,1
53,klasik_maasli,109180.0,101425.0,6,1,1.0,0.929,-0.573,1.0,0.295,809,0.1701,1
54,ogrenci_yuksek_hacim,113069.0,105577.0,30,4,0.518,0.934,2.693,1.0,0.424,623,0.0452,0
55,klasik_maasli,109122.0,63737.0,6,1,1.0,0.584,1.502,0.667,0.285,809,0.0124,0
56,ogrenci_yuksek_hacim,158779.0,129012.0,29,4,0.485,0.813,7.789,0.833,0.435,668,0.0857,0
57,ogrenci_yuksek_hacim,145813.0,109263.0,26,4,0.637,0.749,25.237,0.833,0.399,655,0.0074,0
58,ogrenci_yuksek_hacim,166301.0,110201.0,30,4,0.538,0.663,17.801,0.667,0.426,676,0.0201,0
59,dusuk_hacim_riskli,4346.0,4759.0,2,1,0.0,1.095,-3.871,0.833,0.281,504,0.9812,1
60,ogrenci_yuksek_hacim,128123.0,84767.0,28,4,0.3,0.662,5.323,0.333,0.41,638,0.0151,0
61,klasik_maasli,184294.0,150368.0,6,1,1.0,0.816,0.107,0.833,0.287,850,0.0752,0
62,ogrenci_yuksek_hacim,114959.0,89793.0,26,4,0.299,0.781,11.398,1.0,0.406,624,0.0646,0
63,stajyer_degisken_gelir,94048.0,67084.0,11,2,0.306,0.713,33.252,1.0,0.315,634,0.0387,0
64,klasik_maasli,115953.0,87895.0,6,1,1.0,0.758,0.46,1.0,0.298,815,0.0938,0
65,klasik_maasli,128703.0,112803.0,6,1,1.0,0.876,-0.26,1.0,0.285,828,0.1709,1
66,stajyer_degisken_gelir,102559.0,65136.0,14,2,0.279,0.635,2.005,1.0,0.337,642,0.0544,0
67,ogrenci_yuksek_hacim,139248.0,104347.0,27,4,0.382,0.749,12.189,1.0,0.409,649,0.0583,1
68,dusuk_hacim_riskli,1137.0,2250.0,1,1,0.0,1.979,-20.843,1.0,0.271,501,0.9987,1
69,klasik_maasli,133087.0,112627.0,6,1,1.0,0.846,-0.077,1.0,0.305,833,0.1137,0
70,dusuk_hacim_riskli,2990.0,2988.0,2,1,0.0,0.999,1.017,1.0,0.261,502,0.2773,0
71,ogrenci_yuksek_hacim,103314.0,58903.0,28,4,0.0,0.57,15.156,0.667,0.422,613,0.022,0
72,ogrenci_yuksek_hacim,132915.0,88808.0,30,4,0.121,0.668,23.434,1.0,0.419,642,0.0418,0
73,stajyer_degisken_gelir,94897.0,73484.0,10,2,0.312,0.774,0.51,0.5,0.309,634,0.0994,1
74,ogrenci_yuksek_hacim,126584.0,69970.0,28,4,0.188,0.553,7.131,0.667,0.417,636,0.0274,0
75,ogrenci_yuksek_hacim,141996.0,88551.0,26,4,0.182,0.624,34.162,0.667,0.401,651,0.0202,0
76,stajyer_degisken_gelir,75074.0,73842.0,11,2,0.452,0.984,1.462,0.667,0.315,615,0.3288,1
77,klasik_maasli,139509.0,102057.0,6,1,1.0,0.732,19.269,0.667,0.288,839,0.1349,0
78,ogrenci_yuksek_hacim,116082.0,67697.0,26,4,0.133,0.583,6.12,0.667,0.403,626,0.0362,0
79,stajyer_degisken_gelir,98573.0,80455.0,12,2,0.112,0.816,15.973,0.833,0.341,638,0.0491,0
80,stajyer_degisken_gelir,79125.0,78423.0,10,2,0.519,0.991,1.494,0.5,0.32,619,0.2112,0
81,klasik_maasli,176452.0,102515.0,6,1,1.0,0.581,1.522,0.833,0.29,850,0.0561,0
82,klasik_maasli,129203.0,118127.0,6,1,1.0,0.914,6.841,0.667,0.288,829,0.0125,0
83,klasik_maasli,148971.0,118483.0,6,1,1.0,0.795,0.22,0.667,0.305,848,0.2541,0
84,stajyer_degisken_gelir,119363.0,76790.0,14,2,0.362,0.643,2.888,1.0,0.33,659,0.0795,0
85,klasik_maasli,147584.0,97700.0,6,1,1.0,0.662,1.038,0.667,0.287,847,0.037,0
86,stajyer_degisken_gelir,89392.0,70303.0,11,2,0.376,0.786,1.702,0.667,0.313,629,0.1664,0
87,ogrenci_yuksek_hacim,158616.0,96163.0,29,4,0.55,0.606,22.054,1.0,0.418,668,0.0369,0
88,stajyer_degisken_gelir,78326.0,66334.0,10,2,0.334,0.847,0.822,0.833,0.316,618,0.0641,0
89,ogrenci_yuksek_hacim,144754.0,91023.0,28,4,0.277,0.629,22.674,0.667,0.408,654,0.0313,0
90,stajyer_degisken_gelir,111998.0,105395.0,14,2,0.344,0.941,1.113,0.667,0.339,651,0.4934,1
91,ogrenci_yuksek_hacim,147813.0,126174.0,29,4,0.501,0.854,12.068,0.667,0.42,657,0.0961,0
92,klasik_maasli,126270.0,112192.0,6,1,1.0,0.889,-0.333,0.833,0.288,826,0.2548,0
93,klasik_maasli,120292.0,95873.0,6,1,1.0,0.797,0.214,0.833,0.298,820,0.2674,0
94,dusuk_hacim_riskli,2385.0,2482.0,2,1,0.0,1.041,-0.4,0.833,0.285,502,0.5962,0
95,dusuk_hacim_riskli,3283.0,3644.0,3,1,0.308,1.11,-1.393,0.833,0.273,503,0.8888,1
96,klasik_maasli,161598.0,145447.0,6,1,1.0,0.9,-0.397,0.333,0.285,850,0.2687,1
97,ogrenci_yuksek_hacim,137171.0,117971.0,30,4,0.122,0.86,2.291,0.167,0.426,647,0.1925,0
98,dusuk_hacim_riskli,519.0,2250.0,1,1,0.0,4.335,-32.961,1.0,0.267,500,1.0,1
99,dusuk_hacim_riskli,4865.0,4458.0,2,1,0.0,0.916,-0.855,0.333,0.27,504,0.7984,1
100,stajyer_degisken_gelir,83922.0,79903.0,13,2,0.356,0.952,-0.626,0.667,0.33,623,0.3271,0
101,stajyer_degisken_gelir,101766.0,100656.0,10,2,0.438,0.989,1.408,1.0,0.311,641,0.4202,0
102,ogrenci_yuksek_hacim,134031.0,121411.0,28,4,0.264,0.906,2.622,1.0,0.415,644,0.1464,0
103,klasik_maasli,185744.0,113974.0,6,1,1.0,0.614,1.305,0.333,0.307,850,0.0433,0
104,ogrenci_yuksek_hacim,121069.0,91957.0,29,4,0.273,0.76,12.738,1.0,0.416,631,0.0131,0
105,stajyer_degisken_gelir,116219.0,114490.0,13,2,0.249,0.985,1.533,1.0,0.326,656,0.1053,0
106,dusuk_hacim_riskli,2872.0,2892.0,2,1,0.0,1.007,0.65,0.5,0.299,502,0.8054,1
107,klasik_maasli,198057.0,128936.0,6,1,1.0,0.651,1.087,0.333,0.287,850,0.0102,0
108,ogrenci_yuksek_hacim,110520.0,66159.0,28,4,0.638,0.599,42.889,1.0,0.422,620,0.0427,0
109,dusuk_hacim_riskli,9321.0,8726.0,4,1,0.496,0.936,3.208,1.0,0.29,509,0.076,0
110,stajyer_degisken_gelir,88036.0,83778.0,12,2,0.555,0.952,-0.669,1.0,0.333,628,0.5181,0
111,ogrenci_yuksek_hacim,111714.0,91617.0,27,4,0.244,0.82,2.762,0.833,0.409,621,0.1527,0
112,stajyer_degisken_gelir,102319.0,64132.0,15,2,0.14,0.627,51.847,0.333,0.335,642,0.1346,0
113,klasik_maasli,208092.0,162450.0,6,1,1.0,0.781,16.848,1.0,0.288,850,0.0086,0
114,ogrenci_yuksek_hacim,113833.0,56991.0,26,4,0.291,0.501,21.032,1.0,0.406,623,0.0312,1
115,klasik_maasli,141232.0,107665.0,6,1,1.0,0.762,0.436,1.0,0.29,841,0.2531,0
116,stajyer_degisken_gelir,89409.0,71945.0,12,2,0.528,0.805,9.82,0.667,0.328,629,0.0315,0
117,ogrenci_yuksek_hacim,99308.0,60430.0,26,4,0.382,0.609,13.693,0.5,0.401,609,0.0047,0
118,dusuk_hacim_riskli,2607.0,3031.0,2,1,0.0,1.163,-5.25,0.667,0.261,502,0.9784,1
119,stajyer_degisken_gelir,99232.0,92509.0,11,2,0.305,0.932,7.445,1.0,0.315,639,0.0658,0
120,stajyer_degisken_gelir,68997.0,49513.0,9,2,0.427,0.718,14.058,1.0,0.3,608,0.0523,0
121,stajyer_degisken_gelir,82118.0,64956.0,11,2,0.242,0.791,11.445,1.0,0.322,622,0.0396,0
122,ogrenci_yuksek_hacim,135563.0,80993.0,26,4,0.259,0.597,31.333,0.667,0.408,645,0.0595,0
123,dusuk_hacim_riskli,4904.0,5523.0,3,1,0.2,1.126,-2.605,1.0,0.267,504,0.8287,1
124,ogrenci_yuksek_hacim,124065.0,104518.0,28,4,0.186,0.842,10.177,0.833,0.417,634,0.1242,0
125,klasik_maasli,134058.0,118773.0,6,1,1.0,0.886,9.095,0.5,0.29,834,0.0062,0
126,dusuk_hacim_riskli,845.0,2250.0,1,1,0.0,2.663,-26.569,0.5,0.264,500,1.0,1
127,klasik_maasli,164832.0,95074.0,6,1,1.0,0.577,1.53,0.5,0.298,850,0.0243,0
128,ogrenci_yuksek_hacim,106037.0,60257.0,26,4,0.412,0.568,52.207,0.167,0.394,616,0.0248,0
129,stajyer_degisken_gelir,89246.0,56353.0,11,2,0.432,0.631,1.895,0.833,0.315,629,0.1826,1
130,dusuk_hacim_riskli,5141.0,4958.0,4,1,0.0,0.964,2.433,0.833,0.277,505,0.1684,0
131,ogrenci_yuksek_hacim,142530.0,124982.0,27,4,0.63,0.877,9.717,0.167,0.407,652,0.0547,0
132,stajyer_degisken_gelir,111128.0,106583.0,14,2,0.0,0.959,-0.622,1.0,0.335,651,0.3167,0
133,stajyer_degisken_gelir,88311.0,55846.0,11,2,0.142,0.632,4.41,0.667,0.318,628,0.0074,0
134,ogrenci_yuksek_hacim,95755.0,65378.0,26,4,0.394,0.683,19.938,0.333,0.403,605,0.0215,0
135,ogrenci_yuksek_hacim,144526.0,84213.0,28,4,0.533,0.583,19.065,0.833,0.415,654,0.0149,0
136,stajyer_degisken_gelir,99641.0,70894.0,14,2,0.248,0.711,14.827,0.667,0.331,639,0.0757,0
137,stajyer_degisken_gelir,104927.0,102844.0,14,2,0.281,0.98,-0.762,0.667,0.335,644,0.2759,0
138,stajyer_degisken_gelir,77150.0,54305.0,10,2,0.356,0.704,26.989,0.833,0.32,617,0.0167,0
139,stajyer_degisken_gelir,99315.0,98506.0,12,2,0.223,0.992,-0.935,0.833,0.339,639,0.4386,0
140,stajyer_degisken_gelir,96925.0,85117.0,11,2,0.318,0.878,12.234,0.667,0.316,636,0.0343,0
141,klasik_maasli,186281.0,120517.0,6,1,1.0,0.647,18.139,0.5,0.285,850,0.0048,0
142,klasik_maasli,113824.0,103452.0,6,1,1.0,0.909,-0.446,1.0,0.295,813,0.3035,0
143,stajyer_degisken_gelir,80021.0,78934.0,10,2,0.199,0.986,1.658,1.0,0.312,620,0.1257,0
144,stajyer_degisken_gelir,91686.0,82894.0,13,2,0.257,0.904,10.757,1.0,0.322,631,0.0116,0
145,dusuk_hacim_riskli,4012.0,4474.0,2,1,0.0,1.115,-3.773,0.5,0.264,504,0.7303,0
146,ogrenci_yuksek_hacim,150076.0,88113.0,29,4,0.0,0.587,61.451,0.0,0.428,660,0.0231,0
147,ogrenci_yuksek_hacim,96850.0,57812.0,26,4,0.296,0.597,9.862,0.5,0.401,606,0.0511,0
148,ogrenci_yuksek_hacim,126269.0,65974.0,29,4,0.165,0.522,16.396,0.667,0.425,636,0.0388,0
149,stajyer_degisken_gelir,91113.0,63455.0,14,2,0.406,0.696,1.292,0.667,0.331,631,0.2534,0
150,klasik_maasli,197349.0,133566.0,6,1,1.0,0.677,0.95,0.833,0.29,850,0.0868,0
151,klasik_maasli,201407.0,127262.0,6,1,1.0,0.632,1.218,1.0,0.297,850,0.0676,0
152,klasik_maasli,167015.0,155190.0,6,1,1.0,0.929,3.48,0.833,0.29,850,0.1002,0
153,stajyer_degisken_gelir,101213.0,73612.0,14,2,0.264,0.727,12.577,0.833,0.331,641,0.1748,0
154,dusuk_hacim_riskli,5041.0,5799.0,3,1,0.872,1.15,-3.685,1.0,0.282,505,0.5411,0
155,stajyer_degisken_gelir,68458.0,49592.0,10,2,0.501,0.724,29.934,1.0,0.318,608,0.0105,0
156,dusuk_hacim_riskli,2896.0,2781.0,1,1,0.0,0.96,3.235,0.667,0.267,502,0.212,0
157,ogrenci_yuksek_hacim,105078.0,77603.0,29,4,0.102,0.739,9.05,1.0,0.418,615,0.0649,0
158,klasik_maasli,187251.0,173394.0,6,1,1.0,0.926,4.905,0.833,0.298,850,0.0709,0
159,klasik_maasli,166648.0,129813.0,6,1,1.0,0.779,0.328,1.0,0.285,850,0.1238,0
160,ogrenci_yuksek_hacim,88499.0,64854.0,26,4,0.509,0.733,15.391,1.0,0.394,598,0.0501,1
161,klasik_maasli,111723.0,95422.0,6,1,1.0,0.854,-0.132,1.0,0.288,811,0.075,1
162,ogrenci_yuksek_hacim,140553.0,85105.0,28,4,0.66,0.606,15.261,0.833,0.412,650,0.0101,0
163,ogrenci_yuksek_hacim,125914.0,110492.0,26,4,0.6,0.878,11.192,0.5,0.399,635,0.0258,0
164,stajyer_degisken_gelir,64351.0,55595.0,8,2,0.457,0.864,12.72,0.333,0.294,604,0.0326,0
165,ogrenci_yuksek_hacim,119366.0,73000.0,29,4,0.223,0.612,35.067,0.833,0.425,629,0.0417,0
166,stajyer_degisken_gelir,73211.0,72219.0,9,2,0.37,0.986,1.806,0.5,0.305,613,0.0252,0
167,stajyer_degisken_gelir,89441.0,75006.0,10,2,0.403,0.839,13.337,0.5,0.309,629,0.2195,0
168,klasik_maasli,199017.0,138649.0,6,1,1.0,0.697,0.815,0.5,0.285,850,0.1039,0
169,stajyer_degisken_gelir,89204.0,88984.0,9,2,0.479,0.998,1.149,1.0,0.3,629,0.0455,0
170,klasik_maasli,167586.0,135091.0,6,1,1.0,0.806,0.167,0.833,0.287,850,0.2783,1
171,dusuk_hacim_riskli,3561.0,3626.0,2,1,0.0,1.018,0.431,0.667,0.264,503,0.7841,1
172,stajyer_degisken_gelir,103021.0,75076.0,11,2,0.392,0.729,0.851,1.0,0.316,643,0.3945,0
173,ogrenci_yuksek_hacim,163763.0,124860.0,30,4,0.175,0.762,22.892,0.5,0.431,673,0.072,0
174,klasik_maasli,152493.0,144285.0,6,1,1.0,0.946,5.722,0.5,0.287,850,0.0518,0
175,ogrenci_yuksek_hacim,146801.0,103285.0,28,4,0.316,0.704,25.405,0.667,0.408,656,0.1934,0
176,ogrenci_yuksek_hacim,153114.0,109725.0,30,4,0.254,0.717,26.299,1.0,0.434,663,0.0752,0
177,klasik_maasli,178543.0,132017.0,6,1,1.0,0.739,0.571,1.0,0.288,850,0.2655,1
178,dusuk_hacim_riskli,1073.0,2250.0,1,1,0.0,2.097,-22.098,0.5,0.263,501,0.9996,1
179,ogrenci_yuksek_hacim,90278.0,48383.0,26,4,0.003,0.536,30.338,1.0,0.418,600,0.0095,0
180,stajyer_degisken_gelir,99558.0,81296.0,12,2,0.181,0.817,1.932,0.667,0.329,639,0.1492,0
181,klasik_maasli,168542.0,105277.0,6,1,1.0,0.625,1.245,1.0,0.29,850,0.0284,0
182,stajyer_degisken_gelir,105434.0,65164.0,11,2,0.378,0.618,43.166,0.667,0.316,645,0.0361,0
183,ogrenci_yuksek_hacim,94779.0,56226.0,27,4,0.313,0.593,24.308,1.0,0.402,604,0.0267,0
184,ogrenci_yuksek_hacim,144272.0,72900.0,26,4,0.388,0.505,23.376,0.167,0.408,654,0.0285,0
185,dusuk_hacim_riskli,2394.0,2785.0,1,1,0.0,1.163,-4.026,1.0,0.256,502,0.9278,1
186,ogrenci_yuksek_hacim,113080.0,74342.0,29,4,0.231,0.657,17.456,0.667,0.423,623,0.0622,0
187,ogrenci_yuksek_hacim,129766.0,107067.0,27,4,0.301,0.825,9.13,0.5,0.404,639,0.0362,0
188,dusuk_hacim_riskli,1693.0,2315.0,1,1,0.0,1.367,-11.216,1.0,0.26,501,0.9749,1
189,klasik_maasli,204807.0,130572.0,6,1,1.0,0.638,1.18,1.0,0.287,850,0.0329,0
190,stajyer_degisken_gelir,92461.0,83459.0,12,2,0.396,0.903,-0.336,1.0,0.333,632,0.407,0
191,ogrenci_yuksek_hacim,94661.0,63936.0,26,4,0.741,0.675,28.729,1.0,0.401,604,0.0215,0
192,klasik_maasli,200185.0,149026.0,6,1,1.0,0.744,26.995,0.667,0.29,850,0.0453,0
193,stajyer_degisken_gelir,72593.0,44828.0,9,2,0.418,0.618,37.293,0.333,0.312,612,0.0404,0
194,dusuk_hacim_riskli,2473.0,2942.0,1,1,0.0,1.19,-4.802,0.5,0.26,502,0.9194,1
195,klasik_maasli,126257.0,72731.0,6,1,1.0,0.576,1.569,0.833,0.295,826,0.0097,0
196,ogrenci_yuksek_hacim,113246.0,82935.0,27,4,0.187,0.732,15.257,0.667,0.411,623,0.0829,0
197,ogrenci_yuksek_hacim,136374.0,72602.0,28,4,0.109,0.532,8.483,0.333,0.42,646,0.0112,0
198,ogrenci_yuksek_hacim,146586.0,121651.0,29,4,0.427,0.83,7.336,0.833,0.416,656,0.1595,0
199,klasik_maasli,126284.0,119604.0,6,1,1.0,0.947,-0.683,0.667,0.29,826,0.2151,1
200,ogrenci_yuksek_hacim,106536.0,72419.0,30,4,0.297,0.68,19.531,1.0,0.429,616,0.0401,0
201,ogrenci_yuksek_hacim,109790.0,78595.0,28,4,0.245,0.716,13.147,0.833,0.412,619,0.1209,0
202,klasik_maasli,120603.0,105940.0,6,1,1.0,0.878,7.674,0.167,0.287,820,0.0776,0
203,stajyer_degisken_gelir,103106.0,97361.0,14,2,0.27,0.944,3.312,0.333,0.339,643,0.3547,0
204,ogrenci_yuksek_hacim,155197.0,123987.0,29,4,0.307,0.799,12.23,0.167,0.411,665,0.1516,0
205,klasik_maasli,182160.0,130872.0,6,1,1.0,0.718,13.096,0.5,0.288,850,0.016,0
206,dusuk_hacim_riskli,8149.0,8461.0,4,1,0.458,1.038,-0.683,0.5,0.272,508,0.7651,1
207,ogrenci_yuksek_hacim,107418.0,60685.0,26,4,0.521,0.565,31.765,0.833,0.41,617,0.0237,0
208,stajyer_degisken_gelir,73853.0,53891.0,10,2,0.186,0.73,3.108,1.0,0.316,613,0.0764,0
209,stajyer_degisken_gelir,86422.0,58003.0,10,2,0.555,0.671,22.066,0.833,0.311,626,0.0598,0
210,klasik_maasli,199485.0,113123.0,6,1,1.0,0.567,1.585,0.833,0.315,850,0.0175,0
211,klasik_maasli,176099.0,145359.0,6,1,1.0,0.825,13.131,0.667,0.287,850,0.0183,1
212,dusuk_hacim_riskli,4455.0,5199.0,2,1,0.0,1.167,-5.898,0.5,0.269,504,0.982,1
213,dusuk_hacim_riskli,8828.0,9657.0,4,1,0.711,1.094,-1.933,0.5,0.283,508,0.5668,1
214,klasik_maasli,169207.0,103658.0,6,1,1.0,0.613,1.339,0.333,0.285,850,0.0494,0
215,ogrenci_yuksek_hacim,112215.0,67596.0,28,4,0.227,0.602,10.702,1.0,0.417,622,0.0404,0
216,klasik_maasli,129995.0,93550.0,6,1,1.0,0.72,0.673,1.0,0.29,829,0.0644,0
217,stajyer_degisken_gelir,82921.0,71646.0,9,2,0.495,0.864,5.775,1.0,0.3,622,0.0493,0
218,klasik_maasli,149077.0,125602.0,6,1,1.0,0.843,-0.06,0.833,0.285,849,0.1786,0
219,klasik_maasli,146825.0,87558.0,6,1,1.0,0.596,44.418,0.333,0.285,846,0.0049,0
220,stajyer_degisken_gelir,115282.0,81945.0,14,2,0.189,0.711,1.23,0.833,0.335,655,0.0692,0
221,stajyer_degisken_gelir,85829.0,56560.0,10,2,0.319,0.659,32.471,1.0,0.312,625,0.0156,0
222,klasik_maasli,170381.0,130612.0,6,1,1.0,0.767,15.934,0.667,0.285,850,0.0033,0
223,ogrenci_yuksek_hacim,119039.0,111755.0,29,4,0.323,0.939,1.118,0.5,0.418,629,0.3867,0
224,klasik_maasli,170270.0,155034.0,6,1,1.0,0.911,-0.461,0.5,0.287,850,0.3017,0
225,stajyer_degisken_gelir,76215.0,67229.0,9,2,0.423,0.882,0.15,1.0,0.31,616,0.6579,0
226,ogrenci_yuksek_hacim,146295.0,95669.0,27,4,0.15,0.654,20.249,0.667,0.409,656,0.0535,0
227,klasik_maasli,122573.0,107549.0,6,1,1.0,0.877,-0.26,1.0,0.285,822,0.1703,1
228,ogrenci_yuksek_hacim,121873.0,76858.0,30,4,0.342,0.631,10.311,0.5,0.429,631,0.0056,0
229,ogrenci_yuksek_hacim,101576.0,87315.0,27,4,0.199,0.86,3.738,0.167,0.411,611,0.0193,0
230,stajyer_degisken_gelir,92096.0,90448.0,12,2,0.302,0.982,-0.034,0.667,0.318,632,0.4673,0
231,klasik_maasli,126063.0,112083.0,6,1,1.0,0.889,5.208,0.667,0.295,826,0.0063,0
232,klasik_maasli,190784.0,122084.0,6,1,1.0,0.64,1.159,1.0,0.287,850,0.0132,0
233,ogrenci_yuksek_hacim,106710.0,63874.0,30,4,0.212,0.599,39.486,0.167,0.431,616,0.0372,0
234,klasik_maasli,180069.0,114682.0,6,1,1.0,0.637,1.183,0.333,0.29,850,0.0633,0
235,klasik_maasli,184663.0,170285.0,6,1,1.0,0.922,4.138,0.167,0.297,850,0.1703,0
236,klasik_maasli,123965.0,105989.0,6,1,1.0,0.855,-0.128,0.333,0.285,823,0.4794,0
237,stajyer_degisken_gelir,94325.0,68106.0,9,2,0.43,0.722,20.877,1.0,0.303,634,0.0101,0
238,klasik_maasli,203561.0,180586.0,6,1,1.0,0.887,5.965,1.0,0.285,850,0.0097,1
239,dusuk_hacim_riskli,3898.0,4157.0,3,1,0.469,1.066,-1.857,0.667,0.282,503,0.8543,1
